brand,model,fuel_type,vehicle_count,distance_traveled_km,liters_consumed,total_co2_kg,total_fuel_cost_eur,idle_ratio,utilization,km_per_liter_filled_capped,co2_per_km,fuel_cost_per_km,fuel_benchmark
RENAULT,MAXITY,Diesel,1,436.1875,0.0,0.0,0.0,,0.20861111111111114,,0.0,0.0,8.0
RENAULT,TRAFIC,Diesel,1,151.09375,12.9,34.572,21.93,0.1923264330131056,0.16138425925925926,11.712693798449612,0.22881158221303,0.14514167528438468,8.0
Renault,MASTER,Diesel,1,387.9765625,36.6,98.088,62.22,0.42878877030970974,0.2619540895061728,10.600452527322403,0.2528193955015002,0.16037051207184713,8.0
Renault,MAXITY,Diesel,1,216.296875,0.0,0.0,0.0,,0.3096045524691358,,0.0,0.0,8.0
Renault,TRUCKS,Diesel,2,371.40625,29.3,78.524,49.81,0.7908395635632985,0.46719328703703705,12.675981228668942,0.21142347496844763,0.13411190576356752,8.0
SCANIA,P,Diesel,2,989.4140625,960.8,2574.944,1633.36,0.6776198429802313,0.5275789141414141,1.0297814971898418,2.602493837103715,1.6508356429389237,8.0
SCANIA,P 320,Diesel,1,161.6875,0.0,0.0,0.0,0.4317291482902779,0.2132986111111111,,0.0,0.0,8.0
SCANIA,P320,Diesel,1,441.765625,258.0,691.44,438.6,0.8979942161496712,0.999261188271605,1.7122698643410852,1.5651738407668094,0.9928341527252149,8.0
SCANIA,R,Diesel,1,431.6328125,367.5,984.9000000000001,624.75,0.5640917434244653,0.5162172067901234,1.1745110544217687,2.2818005755760287,1.4474108128653913,8.0
Scania,P 320,Diesel,2,1095.87353515625,892.5,2391.9,1517.25,0.7627765939874411,0.5231322337962963,1.2278695071778711,2.182642360880594,1.384511945334705,8.0
Scania,P320,Diesel,2,1001.52734375,324.5,869.6600000000001,551.65,0.6096084263088544,0.18652649176954733,3.0863708590138677,0.8683337558650656,0.5508087257353027,8.0
VOLKSWAGEN,CADDY,Diesel,1,306.2099609375,0.0,0.0,0.0,0.5710374279029001,0.33601157407407406,,0.0,0.0,8.0
VW,KOMBI,Diesel,1,413.2578125,34.0,91.12,57.8,0.427497960866039,0.5417013888888889,12.154641544117647,0.22049189935157004,0.13986426451405562,8.0
VW,T-CROSS,Diesel,1,409.34765625,19.7,52.79600000000001,33.489999999999995,0.7389128604717099,0.39763723544973545,20.779068845177665,0.1289759430496312,0.08181309820312424,8.0
VW,T-ROC,Diesel,1,1793.01171875,113.5,304.18,192.95,0.6056235567229473,0.4028935185185185,15.797460077092511,0.1696475247869877,0.10761223587234292,8.0
z,PUMA,Diesel,1,800.6015625,47.7,127.83600000000001,81.08999999999999,0.7913437926761143,0.5023055555555556,16.784099842767294,0.15967493193594662,0.10128633742205567,8.0
